Date,YOY (%),index
1/9/2022,0,^HSI
1/8/2022,0,^HSI
1/7/2022,0,^HSI
1/6/2022,0,^HSI
1/5/2022,0,^HSI
1/4/2022,0,^HSI
1/3/2022,0,^HSI
1/2/2022,0,^HSI
1/1/2022,0,^HSI
1/12/2021,0,^HSI
1/11/2021,0,^HSI
1/10/2021,0,^HSI
1/9/2021,0,^HSI
1/8/2021,0,^HSI
1/7/2021,0,^HSI
1/6/2021,0,^HSI
1/5/2021,0,^HSI
1/4/2021,0,^HSI
1/3/2021,0,^HSI
1/2/2021,0,^HSI
1/1/2021,0,^HSI
1/12/2020,0,^HSI
1/11/2020,0,^HSI
1/10/2020,0,^HSI
1/9/2020,0,^HSI
1/8/2020,0,^HSI
1/7/2020,0,^HSI
1/6/2020,0,^HSI
1/5/2020,1,^HSI
1/4/2020,1,^HSI
1/3/2020,1,^HSI
1/2/2020,1,^HSI
1/1/2020,1,^HSI
1/12/2019,0,^HSI
1/11/2019,0,^HSI
1/10/2019,0,^HSI
1/9/2019,0,^HSI
1/8/2019,0,^HSI
1/7/2019,0,^HSI
1/6/2019,0,^HSI
1/5/2019,0,^HSI
1/4/2019,0,^HSI
1/3/2019,0,^HSI
1/2/2019,0,^HSI
1/1/2019,0,^HSI
1/12/2018,0,^HSI
1/11/2018,0,^HSI
1/10/2018,0,^HSI
1/9/2018,0,^HSI
1/8/2018,0,^HSI
1/7/2018,0,^HSI
1/6/2018,0,^HSI
1/5/2018,0,^HSI
1/4/2018,0,^HSI
1/3/2018,0,^HSI
1/2/2018,0,^HSI
1/1/2018,0,^HSI
1/12/2017,0,^HSI
1/11/2017,0,^HSI
1/10/2017,0,^HSI
1/9/2017,0,^HSI
1/8/2017,0,^HSI
1/7/2017,0,^HSI
1/6/2017,0,^HSI
1/5/2017,0,^HSI
1/4/2017,0,^HSI
1/3/2017,1,^HSI
1/2/2017,1,^HSI
1/1/2017,1,^HSI
1/12/2016,1,^HSI
1/11/2016,1,^HSI
1/10/2016,1,^HSI
1/9/2016,1,^HSI
1/8/2016,1,^HSI
1/7/2016,1,^HSI
1/6/2016,1,^HSI
1/5/2016,1,^HSI
1/4/2016,1,^HSI
1/3/2016,1,^HSI
1/2/2016,1,^HSI
1/1/2016,1,^HSI
1/12/2015,1,^HSI
1/11/2015,1,^HSI
1/10/2015,1,^HSI
1/9/2015,1,^HSI
1/8/2015,1,^HSI
1/7/2015,1,^HSI
1/6/2015,1,^HSI
1/5/2015,1,^HSI
1/4/2015,1,^HSI
1/3/2015,1,^HSI
1/2/2015,0,^HSI
1/1/2015,0,^HSI
1/12/2014,0,^HSI
1/11/2014,0,^HSI
1/10/2014,0,^HSI
1/9/2014,0,^HSI
1/8/2014,0,^HSI
1/7/2014,0,^HSI
1/6/2014,0,^HSI
1/5/2014,0,^HSI
1/4/2014,0,^HSI
1/3/2014,0,^HSI
1/2/2014,1,^HSI
1/1/2014,1,^HSI
1/12/2013,1,^HSI
1/11/2013,1,^HSI
1/10/2013,1,^HSI
1/9/2013,1,^HSI
1/8/2013,1,^HSI
1/7/2013,1,^HSI
1/6/2013,1,^HSI
1/5/2013,1,^HSI
1/4/2013,1,^HSI
1/3/2013,1,^HSI
1/2/2013,1,^HSI
1/1/2013,1,^HSI
1/12/2012,1,^HSI
1/11/2012,1,^HSI
1/10/2012,1,^HSI
1/9/2012,1,^HSI
1/8/2012,1,^HSI
1/7/2012,1,^HSI
1/6/2012,1,^HSI
1/5/2012,1,^HSI
1/4/2012,1,^HSI
1/3/2012,0,^HSI
1/2/2012,0,^HSI
1/1/2012,0,^HSI
1/12/2011,0,^HSI
1/11/2011,0,^HSI
1/10/2011,0,^HSI
1/9/2011,0,^HSI
1/8/2011,0,^HSI
1/7/2011,0,^HSI
1/6/2011,0,^HSI
1/5/2011,0,^HSI
1/4/2011,0,^HSI
1/3/2011,0,^HSI
1/2/2011,0,^HSI
1/1/2011,0,^HSI
1/12/2010,0,^HSI
1/11/2010,0,^HSI
1/10/2010,0,^HSI
1/9/2010,0,^HSI
1/8/2010,0,^HSI
1/7/2010,0,^HSI
1/6/2010,0,^HSI
1/5/2010,0,^HSI
1/4/2010,0,^HSI
1/3/2010,0,^HSI
1/2/2010,0,^HSI
1/1/2010,0,^HSI
1/12/2009,0,^HSI
1/11/2009,0,^HSI
1/10/2009,0,^HSI
1/9/2009,0,^HSI
1/8/2009,0,^HSI
1/7/2009,0,^HSI
1/6/2009,0,^HSI
1/5/2009,1,^HSI
1/4/2009,1,^HSI
1/3/2009,1,^HSI
1/2/2009,1,^HSI
1/1/2009,1,^HSI
1/12/2008,1,^HSI
1/11/2008,1,^HSI
1/10/2008,1,^HSI
1/9/2008,1,^HSI
1/8/2008,1,^HSI
1/7/2008,1,^HSI
1/6/2008,1,^HSI
1/5/2008,1,^HSI
1/4/2008,1,^HSI
1/3/2008,1,^HSI
1/2/2008,1,^HSI
1/1/2008,1,^HSI
1/12/2007,1,^HSI
1/11/2007,1,^HSI
1/10/2007,0,^HSI
1/9/2007,0,^HSI
1/8/2007,0,^HSI
1/7/2007,0,^HSI
1/6/2007,0,^HSI
1/5/2007,0,^HSI
1/4/2007,0,^HSI
1/3/2007,0,^HSI
1/2/2007,0,^HSI
1/1/2007,0,^HSI
1/12/2006,0,^HSI
1/11/2006,0,^HSI
1/10/2006,0,^HSI
1/9/2006,0,^HSI
1/8/2006,0,^HSI
1/7/2006,0,^HSI
1/6/2006,0,^HSI
1/5/2006,0,^HSI
1/4/2006,0,^HSI
1/3/2006,0,^HSI
1/2/2006,0,^HSI
1/1/2006,0,^HSI
1/12/2005,0,^HSI
1/11/2005,0,^HSI
1/10/2005,0,^HSI
1/9/2005,0,^HSI
1/8/2005,0,^HSI
1/7/2005,0,^HSI
1/6/2005,0,^HSI
1/5/2005,0,^HSI
1/4/2005,0,^HSI
1/3/2005,0,^HSI
1/2/2005,0,^HSI
1/1/2005,0,^HSI
1/12/2004,0,^HSI
1/11/2004,0,^HSI
1/10/2004,0,^HSI
1/9/2004,0,^HSI
1/8/2004,0,^HSI
1/7/2004,0,^HSI
1/6/2004,0,^HSI
1/5/2004,0,^HSI
1/4/2004,0,^HSI
1/3/2004,0,^HSI
1/2/2004,0,^HSI
1/1/2004,0,^HSI
1/12/2003,0,^HSI
1/11/2003,0,^HSI
1/10/2003,0,^HSI
1/9/2003,0,^HSI
1/8/2003,0,^HSI
1/7/2003,0,^HSI
1/6/2003,0,^HSI
1/5/2003,0,^HSI
1/4/2003,0,^HSI
1/3/2003,0,^HSI
1/2/2003,1,^HSI
1/1/2003,1,^HSI
1/12/2002,1,^HSI
1/11/2002,1,^HSI
1/10/2002,1,^HSI
1/9/2002,1,^HSI
1/8/2002,1,^HSI
