Date,Value,YOY (%)
2022-01-01,359838598806.09,-2.46
2021-01-01,368911387845.42,6.95
2020-01-01,344943149590.06,-4.99
2019-01-01,363074560517.28,0.37
2018-01-01,361731070995.73,5.99
2017-01-01,341273289534.47,6.37
2016-01-01,320837638328.85,3.70
2015-01-01,309383627028.56,6.15
2014-01-01,291459356985.34,5.72
2013-01-01,275696879834.97,4.98
2012-01-01,262629441493.48,5.68
2011-01-01,248513617677.29,8.69
2010-01-01,228637697575.04,6.82
2009-01-01,214046415026.19,-2.39
2008-01-01,219279678430.16,3.63
2007-01-01,211597405593.87,9.33
2006-01-01,193536265094.36,6.59
2005-01-01,181570082162.19,7.37
2004-01-01,169099768875.19,4.78
2003-01-01,161384522525.30,-2.98
2002-01-01,166349228737.39,-1.80
2001-01-01,169403241524.34,-1.32
2000-01-01,171668164082.56,3.56
1999-01-01,165768095391.56,-1.85
1998-01-01,168886163221.57,-4.77
1997-01-01,177352785419.98,11.04
1996-01-01,159717233621.66,10.41
1995-01-01,144652912433.10,6.51
1994-01-01,135812069768.65,12.84
1993-01-01,120353947980.76,15.42
1992-01-01,104272278634.73,17.21
1991-01-01,88959620135.89,15.64
1990-01-01,76928290841.87,11.83
1989-01-01,68790369107.30,15.21
1988-01-01,59707404560.59,17.95
1987-01-01,50622571586.11,23.24
1986-01-01,41075570591.93,15.06
1985-01-01,35699543050.78,6.53
1984-01-01,33511383985.67,12.05
1983-01-01,29907091339.54,-7.38
1982-01-01,32291306281.82,3.98
1981-01-01,31055409443.04,7.60
1980-01-01,28861759209.02,28.13
1979-01-01,22526035940.59,22.99
1978-01-01,18315007365.97,16.51
1977-01-01,15719433719.43,22.08
1976-01-01,12876366008.81,28.15
1975-01-01,10048022369.91,25.13
1974-01-01,9388663645.76,16.92
1973-01-01,8030117555.62,40.63
1972-01-01,5710107420.14,27.57
1971-01-01,4476001946.01,17.77
1970-01-01,3800766535.62,19.16
1969-01-01,3189740055.14,17.40
1968-01-01,2716964388.42,0.91
1967-01-01,2692474989.13,8.14
1966-01-01,2489845016.65,2.25
1965-01-01,2435078534.03,10.36
1964-01-01,2206466461.26,14.01
1963-01-01,1935298266.45,20.03
1962-01-01,1612346412.26,16.53
1961-01-01,1383681651.14,4.76
1960-01-01,1320796651.69,
