Date,Value,YOY (%)
2022-01-01,2782905325624.52,-5.92
2021-01-01,2957879759263.52,12.08
2020-01-01,2639008701648.21,-3.29
2019-01-01,2728870246705.83,-2.22
2018-01-01,2790956878746.61,7.55
2017-01-01,2595151045197.65,5.01
2016-01-01,2471285607081.72,1.36
2015-01-01,2438207896251.84,-14.51
2014-01-01,2852165760630.27,1.46
2013-01-01,2811077725703.59,4.74
2012-01-01,2683825225092.63,-6.21
2011-01-01,2861408170264.60,8.28
2010-01-01,2642609548930.36,-1.77
2009-01-01,2690222283967.77,-7.82
2008-01-01,2918382891460.38,9.83
2007-01-01,2657213249384.07,14.60
2006-01-01,2318593651988.46,5.58
2005-01-01,2196126103718.44,3.80
2004-01-01,2115742488204.62,14.96
2003-01-01,1840480812641.08,23.17
2002-01-01,1494286655373.61,8.56
2001-01-01,1376465324384.79,1.04
2000-01-01,1362248940482.77,-8.74
1999-01-01,1492647560196.04,-0.70
1998-01-01,1503108739159.44,3.46
1997-01-01,1452884917959.09,-9.52
1996-01-01,1605675086549.56,0.29
1995-01-01,1601094756209.75,14.86
1994-01-01,1393982750472.59,5.38
1993-01-01,1322815612694.00,-5.61
1992-01-01,1401465923172.24,10.41
1991-01-01,1269276828275.78,0.01
1990-01-01,1269179616913.63,23.80
1989-01-01,1025211803413.53,0.62
1988-01-01,1018847043277.17,9.06
1987-01-01,934173305685.91,21.09
1986-01-01,771470783218.11,39.47
1985-01-01,553138414367.06,4.23
1984-01-01,530683779929.45,-5.21
1983-01-01,559869179791.72,-4.28
1982-01-01,584877732308.61,-4.98
1981-01-01,615552202776.10,-12.23
1980-01-01,701288419745.42,14.23
1979-01-01,613953129818.07,21.17
1978-01-01,506707848837.21,23.50
1977-01-01,410279486493.72,10.20
1976-01-01,372319038514.07,3.18
1975-01-01,360832186018.05,36.46
1974-01-01,285552373158.76,7.99
1973-01-01,264429876252.21,29.94
1972-01-01,203494148244.47,22.61
1971-01-01,165966615366.40,11.79
1970-01-01,148456359985.83,4.62
1969-01-01,141903068680.31,9.34
1968-01-01,129785441507.46,9.09
1967-01-01,118972977486.21,8.11
1966-01-01,110045852177.93,8.38
1965-01-01,101537248148.43,8.01
1964-01-01,94007851047.37,10.91
1963-01-01,84759195105.87,12.10
1962-01-01,75607529809.93,12.07
1961-01-01,67461644222.04,8.41
1960-01-01,62225478000.88,
